obj_label,colours
bird_black_9,"[{'color': 0.0, 'percent': 0.1137}, {'color': 36.0, 'percent': 0.1117}, {'color': 73.0, 'percent': 0.6571}, {'color': 32.0, 'percent': 0.0353}, {'color': 201.0, 'percent': 0.0019}, {'color': 132.0, 'percent': 0.0057}, {'color': 233.0, 'percent': 0.0124}, {'color': 208.0, 'percent': 0.0038}, {'color': 172.0, 'percent': 0.0029}, {'color': 136.0, 'percent': 0.0086}, {'color': 104.0, 'percent': 0.0057}, {'color': 68.0, 'percent': 0.0076}, {'color': 169.0, 'percent': 0.0029}, {'color': 100.0, 'percent': 0.0029}, {'color': 164.0, 'percent': 0.0029}, {'color': 64.0, 'percent': 0.0019}, {'color': 146.0, 'percent': 0.0048}, {'color': 182.0, 'percent': 0.0029}, {'color': 219.0, 'percent': 0.0019}, {'color': 255.0, 'percent': 0.0038}, {'color': 109.0, 'percent': 0.0029}, {'color': 168.0, 'percent': 0.0038}, {'color': 200.0, 'percent': 0.0019}, {'color': 72.0, 'percent': 0.001}]"
bird_blue_1,"[{'color': 0.0, 'percent': 0.2245}, {'color': 37.0, 'percent': 0.0136}, {'color': 78.0, 'percent': 0.0227}, {'color': 82.0, 'percent': 0.0454}, {'color': 119.0, 'percent': 0.4036}, {'color': 118.0, 'percent': 0.0091}, {'color': 41.0, 'percent': 0.0363}, {'color': 4.0, 'percent': 0.0249}, {'color': 45.0, 'percent': 0.0159}, {'color': 86.0, 'percent': 0.0136}, {'color': 77.0, 'percent': 0.0113}, {'color': 36.0, 'percent': 0.0567}, {'color': 68.0, 'percent': 0.0136}, {'color': 72.0, 'percent': 0.0045}, {'color': 32.0, 'percent': 0.0068}, {'color': 168.0, 'percent': 0.0045}, {'color': 200.0, 'percent': 0.0091}, {'color': 132.0, 'percent': 0.0045}, {'color': 104.0, 'percent': 0.0023}, {'color': 100.0, 'percent': 0.0091}, {'color': 146.0, 'percent': 0.0113}, {'color': 182.0, 'percent': 0.0091}, {'color': 109.0, 'percent': 0.0136}, {'color': 255.0, 'percent': 0.0091}, {'color': 219.0, 'percent': 0.0091}, {'color': 73.0, 'percent': 0.0159}]"
bird_blue_2,"[{'color': 0.0, 'percent': 0.1892}, {'color': 37.0, 'percent': 0.0098}, {'color': 45.0, 'percent': 0.0442}, {'color': 78.0, 'percent': 0.0393}, {'color': 41.0, 'percent': 0.0418}, {'color': 4.0, 'percent': 0.0491}, {'color': 119.0, 'percent': 0.4496}, {'color': 82.0, 'percent': 0.0565}, {'color': 36.0, 'percent': 0.0246}, {'color': 86.0, 'percent': 0.0098}, {'color': 72.0, 'percent': 0.0025}, {'color': 68.0, 'percent': 0.0197}, {'color': 132.0, 'percent': 0.0074}, {'color': 200.0, 'percent': 0.0147}, {'color': 168.0, 'percent': 0.0147}, {'color': 32.0, 'percent': 0.0049}, {'color': 64.0, 'percent': 0.0025}, {'color': 100.0, 'percent': 0.0049}, {'color': 104.0, 'percent': 0.0049}, {'color': 118.0, 'percent': 0.0098}]"
bird_blue_3,"[{'color': 0.0, 'percent': 0.232}, {'color': 4.0, 'percent': 0.0394}, {'color': 41.0, 'percent': 0.0603}, {'color': 82.0, 'percent': 0.0626}, {'color': 119.0, 'percent': 0.4292}, {'color': 118.0, 'percent': 0.0046}, {'color': 78.0, 'percent': 0.0325}, {'color': 45.0, 'percent': 0.0232}, {'color': 37.0, 'percent': 0.007}, {'color': 77.0, 'percent': 0.0023}, {'color': 86.0, 'percent': 0.0116}, {'color': 36.0, 'percent': 0.0209}, {'color': 104.0, 'percent': 0.0023}, {'color': 72.0, 'percent': 0.0023}, {'color': 32.0, 'percent': 0.0093}, {'color': 132.0, 'percent': 0.0093}, {'color': 68.0, 'percent': 0.0093}, {'color': 200.0, 'percent': 0.0255}, {'color': 168.0, 'percent': 0.007}, {'color': 64.0, 'percent': 0.007}, {'color': 100.0, 'percent': 0.0023}]"
bird_blue_4,"[{'color': 0.0, 'percent': 0.2563}, {'color': 4.0, 'percent': 0.0276}, {'color': 41.0, 'percent': 0.0779}, {'color': 45.0, 'percent': 0.0427}, {'color': 119.0, 'percent': 0.3543}, {'color': 86.0, 'percent': 0.005}, {'color': 82.0, 'percent': 0.0603}, {'color': 36.0, 'percent': 0.0176}, {'color': 68.0, 'percent': 0.0201}, {'color': 78.0, 'percent': 0.0402}, {'color': 104.0, 'percent': 0.0075}, {'color': 32.0, 'percent': 0.0201}, {'color': 72.0, 'percent': 0.005}, {'color': 37.0, 'percent': 0.0075}, {'color': 64.0, 'percent': 0.0025}, {'color': 100.0, 'percent': 0.0101}, {'color': 200.0, 'percent': 0.0226}, {'color': 168.0, 'percent': 0.0151}, {'color': 118.0, 'percent': 0.005}, {'color': 77.0, 'percent': 0.0025}]"
bird_blue_5,"[{'color': 0.0, 'percent': 0.2357}, {'color': 41.0, 'percent': 0.0521}, {'color': 45.0, 'percent': 0.0149}, {'color': 4.0, 'percent': 0.0422}, {'color': 82.0, 'percent': 0.062}, {'color': 119.0, 'percent': 0.3102}, {'color': 78.0, 'percent': 0.0347}, {'color': 37.0, 'percent': 0.0124}, {'color': 68.0, 'percent': 0.0248}, {'color': 118.0, 'percent': 0.005}, {'color': 86.0, 'percent': 0.0074}, {'color': 104.0, 'percent': 0.005}, {'color': 32.0, 'percent': 0.0074}, {'color': 72.0, 'percent': 0.005}, {'color': 64.0, 'percent': 0.005}, {'color': 36.0, 'percent': 0.072}, {'color': 168.0, 'percent': 0.005}, {'color': 73.0, 'percent': 0.0223}, {'color': 200.0, 'percent': 0.0074}, {'color': 100.0, 'percent': 0.005}, {'color': 105.0, 'percent': 0.0025}, {'color': 109.0, 'percent': 0.0074}, {'color': 132.0, 'percent': 0.0025}, {'color': 255.0, 'percent': 0.0149}, {'color': 146.0, 'percent': 0.0099}, {'color': 219.0, 'percent': 0.0149}, {'color': 182.0, 'percent': 0.0099}, {'color': 77.0, 'percent': 0.0025}]"
bird_blue_6,"[{'color': 0.0, 'percent': 0.237}, {'color': 4.0, 'percent': 0.0429}, {'color': 41.0, 'percent': 0.0451}, {'color': 82.0, 'percent': 0.0609}, {'color': 119.0, 'percent': 0.316}, {'color': 118.0, 'percent': 0.009}, {'color': 86.0, 'percent': 0.0158}, {'color': 78.0, 'percent': 0.0361}, {'color': 77.0, 'percent': 0.0158}, {'color': 45.0, 'percent': 0.0293}, {'color': 37.0, 'percent': 0.0181}, {'color': 68.0, 'percent': 0.0248}, {'color': 100.0, 'percent': 0.0113}, {'color': 132.0, 'percent': 0.009}, {'color': 72.0, 'percent': 0.0045}, {'color': 36.0, 'percent': 0.0384}, {'color': 201.0, 'percent': 0.0045}, {'color': 233.0, 'percent': 0.0113}, {'color': 32.0, 'percent': 0.0181}, {'color': 169.0, 'percent': 0.0023}, {'color': 104.0, 'percent': 0.0023}, {'color': 64.0, 'percent': 0.0023}, {'color': 200.0, 'percent': 0.0135}, {'color': 168.0, 'percent': 0.0023}, {'color': 182.0, 'percent': 0.0045}, {'color': 255.0, 'percent': 0.0068}, {'color': 219.0, 'percent': 0.0023}, {'color': 109.0, 'percent': 0.0068}, {'color': 146.0, 'percent': 0.0068}, {'color': 73.0, 'percent': 0.0023}]"
bird_red_1,"[{'color': 0.0, 'percent': 0.2689}, {'color': 36.0, 'percent': 0.0644}, {'color': 73.0, 'percent': 0.0044}, {'color': 141.0, 'percent': 0.0133}, {'color': 177.0, 'percent': 0.0044}, {'color': 178.0, 'percent': 0.0133}, {'color': 68.0, 'percent': 0.0156}, {'color': 214.0, 'percent': 0.0111}, {'color': 250.0, 'percent': 0.2356}, {'color': 145.0, 'percent': 0.0044}, {'color': 105.0, 'percent': 0.0022}, {'color': 96.0, 'percent': 0.0067}, {'color': 196.0, 'percent': 0.0022}, {'color': 246.0, 'percent': 0.0089}, {'color': 109.0, 'percent': 0.0244}, {'color': 240.0, 'percent': 0.0333}, {'color': 136.0, 'percent': 0.0044}, {'color': 182.0, 'percent': 0.0267}, {'color': 210.0, 'percent': 0.0044}, {'color': 197.0, 'percent': 0.0044}, {'color': 104.0, 'percent': 0.0222}, {'color': 128.0, 'percent': 0.0022}, {'color': 192.0, 'percent': 0.0067}, {'color': 205.0, 'percent': 0.0067}, {'color': 172.0, 'percent': 0.0067}, {'color': 204.0, 'percent': 0.0044}, {'color': 32.0, 'percent': 0.0133}, {'color': 201.0, 'percent': 0.0044}, {'color': 140.0, 'percent': 0.0067}, {'color': 208.0, 'percent': 0.0111}, {'color': 244.0, 'percent': 0.0911}, {'color': 242.0, 'percent': 0.0022}, {'color': 176.0, 'percent': 0.0044}, {'color': 64.0, 'percent': 0.0089}, {'color': 255.0, 'percent': 0.0311}, {'color': 219.0, 'percent': 0.0133}, {'color': 72.0, 'percent': 0.0044}, {'color': 212.0, 'percent': 0.0022}, {'color': 146.0, 'percent': 0.0044}]"
bird_red_2,"[{'color': 0.0, 'percent': 0.3222}, {'color': 36.0, 'percent': 0.0232}, {'color': 72.0, 'percent': 0.0077}, {'color': 68.0, 'percent': 0.0129}, {'color': 109.0, 'percent': 0.0077}, {'color': 178.0, 'percent': 0.0026}, {'color': 214.0, 'percent': 0.0232}, {'color': 250.0, 'percent': 0.2835}, {'color': 145.0, 'percent': 0.0077}, {'color': 141.0, 'percent': 0.0052}, {'color': 177.0, 'percent': 0.0052}, {'color': 32.0, 'percent': 0.0103}, {'color': 133.0, 'percent': 0.0026}, {'color': 104.0, 'percent': 0.0155}, {'color': 246.0, 'percent': 0.0103}, {'color': 192.0, 'percent': 0.0103}, {'color': 205.0, 'percent': 0.0052}, {'color': 204.0, 'percent': 0.0077}, {'color': 240.0, 'percent': 0.0335}, {'color': 73.0, 'percent': 0.0026}, {'color': 201.0, 'percent': 0.0129}, {'color': 208.0, 'percent': 0.0103}, {'color': 64.0, 'percent': 0.0103}, {'color': 197.0, 'percent': 0.0077}, {'color': 100.0, 'percent': 0.0052}, {'color': 140.0, 'percent': 0.018}, {'color': 172.0, 'percent': 0.0077}, {'color': 136.0, 'percent': 0.0129}, {'color': 244.0, 'percent': 0.1082}, {'color': 96.0, 'percent': 0.0026}, {'color': 212.0, 'percent': 0.0026}, {'color': 176.0, 'percent': 0.0026}]"
bird_red_3,"[{'color': 0.0, 'percent': 0.3607}, {'color': 36.0, 'percent': 0.0164}, {'color': 73.0, 'percent': 0.0094}, {'color': 141.0, 'percent': 0.0187}, {'color': 145.0, 'percent': 0.007}, {'color': 214.0, 'percent': 0.007}, {'color': 250.0, 'percent': 0.2717}, {'color': 177.0, 'percent': 0.0094}, {'color': 105.0, 'percent': 0.007}, {'color': 32.0, 'percent': 0.0047}, {'color': 68.0, 'percent': 0.0164}, {'color': 218.0, 'percent': 0.0023}, {'color': 72.0, 'percent': 0.0023}, {'color': 182.0, 'percent': 0.0023}, {'color': 205.0, 'percent': 0.0117}, {'color': 208.0, 'percent': 0.0141}, {'color': 140.0, 'percent': 0.0211}, {'color': 197.0, 'percent': 0.007}, {'color': 109.0, 'percent': 0.0023}, {'color': 240.0, 'percent': 0.0328}, {'color': 136.0, 'percent': 0.0117}, {'color': 246.0, 'percent': 0.007}, {'color': 104.0, 'percent': 0.0117}, {'color': 192.0, 'percent': 0.007}, {'color': 201.0, 'percent': 0.0047}, {'color': 204.0, 'percent': 0.0047}, {'color': 172.0, 'percent': 0.0023}, {'color': 209.0, 'percent': 0.0023}, {'color': 244.0, 'percent': 0.1077}, {'color': 64.0, 'percent': 0.0047}, {'color': 210.0, 'percent': 0.0023}, {'color': 242.0, 'percent': 0.0047}, {'color': 96.0, 'percent': 0.0047}]"
bird_red_4,"[{'color': 36.0, 'percent': 0.0127}, {'color': 72.0, 'percent': 0.0102}, {'color': 73.0, 'percent': 0.0102}, {'color': 109.0, 'percent': 0.0051}, {'color': 141.0, 'percent': 0.0127}, {'color': 0.0, 'percent': 0.3426}, {'color': 178.0, 'percent': 0.0025}, {'color': 250.0, 'percent': 0.2005}, {'color': 182.0, 'percent': 0.0051}, {'color': 104.0, 'percent': 0.0203}, {'color': 136.0, 'percent': 0.0127}, {'color': 68.0, 'percent': 0.0178}, {'color': 145.0, 'percent': 0.0025}, {'color': 214.0, 'percent': 0.0051}, {'color': 100.0, 'percent': 0.0127}, {'color': 172.0, 'percent': 0.0203}, {'color': 240.0, 'percent': 0.0279}, {'color': 168.0, 'percent': 0.0076}, {'color': 64.0, 'percent': 0.0685}, {'color': 210.0, 'percent': 0.0051}, {'color': 205.0, 'percent': 0.0102}, {'color': 204.0, 'percent': 0.0025}, {'color': 201.0, 'percent': 0.0102}, {'color': 105.0, 'percent': 0.0051}, {'color': 192.0, 'percent': 0.0051}, {'color': 197.0, 'percent': 0.0076}, {'color': 208.0, 'percent': 0.0127}, {'color': 128.0, 'percent': 0.0025}, {'color': 246.0, 'percent': 0.0051}, {'color': 32.0, 'percent': 0.0152}, {'color': 140.0, 'percent': 0.0051}, {'color': 212.0, 'percent': 0.0051}, {'color': 244.0, 'percent': 0.1041}, {'color': 193.0, 'percent': 0.0025}, {'color': 176.0, 'percent': 0.0051}]"
bird_red_5,"[{'color': 0.0, 'percent': 0.3121}, {'color': 36.0, 'percent': 0.0637}, {'color': 73.0, 'percent': 0.0149}, {'color': 68.0, 'percent': 0.0212}, {'color': 109.0, 'percent': 0.0212}, {'color': 178.0, 'percent': 0.0021}, {'color': 214.0, 'percent': 0.0085}, {'color': 250.0, 'percent': 0.1762}, {'color': 177.0, 'percent': 0.0042}, {'color': 141.0, 'percent': 0.0064}, {'color': 72.0, 'percent': 0.0042}, {'color': 32.0, 'percent': 0.0255}, {'color': 104.0, 'percent': 0.0212}, {'color': 204.0, 'percent': 0.0085}, {'color': 240.0, 'percent': 0.0234}, {'color': 208.0, 'percent': 0.0106}, {'color': 172.0, 'percent': 0.0127}, {'color': 100.0, 'percent': 0.0127}, {'color': 64.0, 'percent': 0.0488}, {'color': 140.0, 'percent': 0.0106}, {'color': 136.0, 'percent': 0.0042}, {'color': 192.0, 'percent': 0.0064}, {'color': 205.0, 'percent': 0.0042}, {'color': 201.0, 'percent': 0.0106}, {'color': 246.0, 'percent': 0.0064}, {'color': 210.0, 'percent': 0.0021}, {'color': 197.0, 'percent': 0.0042}, {'color': 244.0, 'percent': 0.0892}, {'color': 96.0, 'percent': 0.0042}, {'color': 212.0, 'percent': 0.0021}, {'color': 219.0, 'percent': 0.0149}, {'color': 255.0, 'percent': 0.0212}, {'color': 146.0, 'percent': 0.0127}, {'color': 176.0, 'percent': 0.0021}, {'color': 182.0, 'percent': 0.0064}]"
bird_red_6,"[{'color': 0.0, 'percent': 0.3179}, {'color': 36.0, 'percent': 0.0442}, {'color': 68.0, 'percent': 0.0265}, {'color': 109.0, 'percent': 0.0177}, {'color': 145.0, 'percent': 0.0088}, {'color': 178.0, 'percent': 0.0066}, {'color': 214.0, 'percent': 0.0155}, {'color': 250.0, 'percent': 0.1965}, {'color': 218.0, 'percent': 0.0066}, {'color': 141.0, 'percent': 0.0088}, {'color': 105.0, 'percent': 0.0088}, {'color': 182.0, 'percent': 0.0132}, {'color': 140.0, 'percent': 0.011}, {'color': 104.0, 'percent': 0.0088}, {'color': 32.0, 'percent': 0.0309}, {'color': 204.0, 'percent': 0.0066}, {'color': 240.0, 'percent': 0.0375}, {'color': 208.0, 'percent': 0.0132}, {'color': 201.0, 'percent': 0.0088}, {'color': 192.0, 'percent': 0.011}, {'color': 205.0, 'percent': 0.0088}, {'color': 172.0, 'percent': 0.011}, {'color': 136.0, 'percent': 0.0088}, {'color': 64.0, 'percent': 0.0199}, {'color': 197.0, 'percent': 0.0044}, {'color': 246.0, 'percent': 0.0066}, {'color': 100.0, 'percent': 0.0088}, {'color': 72.0, 'percent': 0.0022}, {'color': 210.0, 'percent': 0.0022}, {'color': 176.0, 'percent': 0.0022}, {'color': 244.0, 'percent': 0.0795}, {'color': 169.0, 'percent': 0.0022}, {'color': 212.0, 'percent': 0.0044}, {'color': 146.0, 'percent': 0.0066}, {'color': 73.0, 'percent': 0.0022}, {'color': 219.0, 'percent': 0.0088}, {'color': 255.0, 'percent': 0.0132}, {'color': 96.0, 'percent': 0.0088}]"
bird_red_big_1,"[{'color': 32.0, 'percent': 0.0174}, {'color': 68.0, 'percent': 0.0021}, {'color': 105.0, 'percent': 0.0019}, {'color': 141.0, 'percent': 0.0013}, {'color': 177.0, 'percent': 0.0011}, {'color': 178.0, 'percent': 0.0019}, {'color': 109.0, 'percent': 0.0026}, {'color': 73.0, 'percent': 0.0021}, {'color': 36.0, 'percent': 0.0136}, {'color': 0.0, 'percent': 0.0193}, {'color': 218.0, 'percent': 0.0013}, {'color': 250.0, 'percent': 0.1073}, {'color': 214.0, 'percent': 0.0114}, {'color': 145.0, 'percent': 0.0006}, {'color': 64.0, 'percent': 0.011}, {'color': 169.0, 'percent': 0.0004}, {'color': 128.0, 'percent': 0.1177}, {'color': 165.0, 'percent': 0.5765}, {'color': 201.0, 'percent': 0.0019}, {'color': 246.0, 'percent': 0.0013}, {'color': 210.0, 'percent': 0.0011}, {'color': 205.0, 'percent': 0.0017}, {'color': 197.0, 'percent': 0.0004}, {'color': 96.0, 'percent': 0.0108}, {'color': 160.0, 'percent': 0.0238}, {'color': 182.0, 'percent': 0.0013}, {'color': 104.0, 'percent': 0.0021}, {'color': 72.0, 'percent': 0.0006}, {'color': 100.0, 'percent': 0.0004}, {'color': 240.0, 'percent': 0.0072}, {'color': 164.0, 'percent': 0.0034}, {'color': 204.0, 'percent': 0.0009}, {'color': 136.0, 'percent': 0.0006}, {'color': 172.0, 'percent': 0.0011}, {'color': 161.0, 'percent': 0.0121}, {'color': 208.0, 'percent': 0.0017}, {'color': 244.0, 'percent': 0.0293}, {'color': 140.0, 'percent': 0.0015}, {'color': 212.0, 'percent': 0.0006}, {'color': 176.0, 'percent': 0.0002}, {'color': 146.0, 'percent': 0.0013}, {'color': 219.0, 'percent': 0.0021}, {'color': 255.0, 'percent': 0.003}]"
